,BMET1_Distal
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,1
RP11-34P13.8,0
AL627309.1,5
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,90
RP4-669L17.10,10
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,0
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,8
RP11-206L10.5,3
RP11-206L10.4,0
RP11-206L10.2,17
RP11-206L10.9,26
AL669831.1,0
FAM87B,0
LINC00115,21
FAM41C,23
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,11
RP11-54O7.2,0
RP11-54O7.3,0
SAMD11,0
AL645608.1,0
NOC2L,133
KLHL17,1
PLEKHN1,6
C1orf170,0
RP11-54O7.17,2
HES4,0
RP11-54O7.11,2
ISG15,345
AGRN,8
RP11-54O7.18,0
RNF223,0
C1orf159,13
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,0
TTLL10,5
TNFRSF18,68
TNFRSF4,76
SDF4,27
B3GALT6,9
FAM132A,0
RP5-902P8.12,0
UBE2J2,71
RP5-902P8.10,1
SCNN1D,1
ACAP3,16
PUSL1,27
CPSF3L,95
GLTPD1,18
TAS1R3,3
DVL1,14
MXRA8,1
AURKAIP1,391
CCNL2,157
RP4-758J18.2,53
MRPL20,431
RP4-758J18.13,8
ANKRD65,1
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,3
VWA1,0
ATAD3C,22
ATAD3B,35
ATAD3A,19
TMEM240,0
SSU72,216
AL645728.1,15
C1orf233,2
RP11-345P4.9,22
MIB2,46
MMP23B,1
CDK11B,140
RP11-345P4.10,3
SLC35E2B,104
RP11-345P4.7,5
CDK11A,163
SLC35E2,12
NADK,45
GNB1,195
RP1-140A9.1,1
CALML6,0
TMEM52,1
C1orf222,17
RP11-547D24.1,15
GABRD,0
RP11-547D24.3,0
PRKCZ,7
RP5-892K4.1,65
RP11-181G12.2,2
C1orf86,170
AL590822.2,3
AL590822.1,10
RP11-181G12.5,0
RP11-181G12.4,0
SKI,62
MORN1,6
AL589739.1,1
RER1,198
PEX10,18
PLCH2,10
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,10
HES5,0
RP3-395M20.12,36
TNFRSF14,275
RP3-395M20.7,1
RP3-395M20.9,5
FAM213B,18
MMEL1,2
RP13-436F16.1,0
TTC34,5
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,0
PRDM16,1
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,0
RP11-168F9.2,0
MEGF6,2
RP11-46F15.2,2
TPRG1L,19
WRAP73,57
TP73,1
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,11
CCDC27,0
SMIM1,167
LRRC47,28
RP1-286D6.5,2
CEP104,44
DFFB,12
C1orf174,116
LINC01134,5
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,0
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,1
KCNAB2,191
AL035406.1,0
CHD5,1
RPL22,6642
RP1-120G22.11,0
RNF207,9
ICMT,33
LINC00337,2
