,BMET8_Involved
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,4
RP11-34P13.8,0
AL627309.1,38
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,90
RP4-669L17.10,12
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,1
RP5-857K21.5,1
OR4F16,0
RP11-206L10.3,27
RP11-206L10.5,0
RP11-206L10.4,0
RP11-206L10.2,21
RP11-206L10.9,45
AL669831.1,0
FAM87B,1
LINC00115,33
FAM41C,19
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,10
RP11-54O7.2,0
RP11-54O7.3,0
SAMD11,2
AL645608.1,0
NOC2L,148
KLHL17,4
PLEKHN1,6
C1orf170,0
RP11-54O7.17,0
HES4,0
RP11-54O7.11,0
ISG15,529
AGRN,5
RP11-54O7.18,0
RNF223,1
C1orf159,20
RP11-465B22.5,0
RP11-465B22.8,0
TTLL10-AS1,1
TTLL10,3
TNFRSF18,62
TNFRSF4,37
SDF4,30
B3GALT6,12
FAM132A,7
RP5-902P8.12,0
UBE2J2,127
RP5-902P8.10,0
SCNN1D,4
ACAP3,23
PUSL1,33
CPSF3L,111
GLTPD1,36
TAS1R3,1
DVL1,10
MXRA8,0
AURKAIP1,540
CCNL2,159
RP4-758J18.2,105
MRPL20,572
RP4-758J18.13,11
ANKRD65,2
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,0
VWA1,0
ATAD3C,23
ATAD3B,27
ATAD3A,14
TMEM240,0
SSU72,330
AL645728.1,13
C1orf233,10
RP11-345P4.9,28
MIB2,57
MMP23B,22
CDK11B,144
RP11-345P4.10,6
SLC35E2B,163
RP11-345P4.7,7
CDK11A,230
SLC35E2,23
NADK,115
GNB1,262
RP1-140A9.1,0
CALML6,0
TMEM52,1
C1orf222,9
RP11-547D24.1,10
GABRD,0
RP11-547D24.3,0
PRKCZ,15
RP5-892K4.1,43
RP11-181G12.2,3
C1orf86,305
AL590822.2,5
AL590822.1,7
RP11-181G12.5,0
RP11-181G12.4,0
SKI,38
MORN1,11
AL589739.1,1
RER1,272
PEX10,23
PLCH2,10
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,24
HES5,1
RP3-395M20.12,70
TNFRSF14,430
RP3-395M20.7,0
RP3-395M20.9,5
FAM213B,28
MMEL1,6
RP13-436F16.1,0
TTC34,13
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,0
PRDM16,0
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,0
RP11-168F9.2,0
MEGF6,8
RP11-46F15.2,13
TPRG1L,39
WRAP73,56
TP73,0
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,26
CCDC27,0
SMIM1,81
LRRC47,42
RP1-286D6.5,0
CEP104,54
DFFB,24
C1orf174,147
LINC01134,3
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,1
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,6
KCNAB2,252
AL035406.1,0
CHD5,1
RPL22,9633
RP1-120G22.11,0
RNF207,13
ICMT,37
LINC00337,4
