,BMM5_Benign
MIR1302-10,0
FAM138A,0
OR4F5,0
RP11-34P13.7,4
RP11-34P13.8,0
AL627309.1,27
RP11-34P13.14,0
RP11-34P13.9,0
AP006222.2,242
RP4-669L17.10,12
OR4F29,0
RP4-669L17.2,0
RP5-857K21.15,0
RP5-857K21.1,0
RP5-857K21.2,0
RP5-857K21.3,0
RP5-857K21.4,1
RP5-857K21.5,0
OR4F16,0
RP11-206L10.3,24
RP11-206L10.5,1
RP11-206L10.4,0
RP11-206L10.2,56
RP11-206L10.9,60
AL669831.1,0
FAM87B,1
LINC00115,57
FAM41C,76
AL645608.2,0
RP11-54O7.16,0
RP11-54O7.1,21
RP11-54O7.2,0
RP11-54O7.3,0
SAMD11,3
AL645608.1,0
NOC2L,430
KLHL17,5
PLEKHN1,18
C1orf170,0
RP11-54O7.17,1
HES4,0
RP11-54O7.11,1
ISG15,890
AGRN,13
RP11-54O7.18,0
RNF223,3
C1orf159,41
RP11-465B22.5,1
RP11-465B22.8,0
TTLL10-AS1,0
TTLL10,14
TNFRSF18,85
TNFRSF4,139
SDF4,65
B3GALT6,25
FAM132A,4
RP5-902P8.12,1
UBE2J2,431
RP5-902P8.10,2
SCNN1D,8
ACAP3,58
PUSL1,108
CPSF3L,397
GLTPD1,122
TAS1R3,0
DVL1,19
MXRA8,3
AURKAIP1,1512
CCNL2,462
RP4-758J18.2,302
MRPL20,1615
RP4-758J18.13,11
ANKRD65,15
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,2
VWA1,1
ATAD3C,40
ATAD3B,47
ATAD3A,18
TMEM240,0
SSU72,907
AL645728.1,54
C1orf233,7
RP11-345P4.9,84
MIB2,177
MMP23B,10
CDK11B,304
RP11-345P4.10,2
SLC35E2B,292
RP11-345P4.7,11
CDK11A,455
SLC35E2,36
NADK,220
GNB1,580
RP1-140A9.1,20
CALML6,1
TMEM52,6
C1orf222,29
RP11-547D24.1,18
GABRD,0
RP11-547D24.3,1
PRKCZ,26
RP5-892K4.1,66
RP11-181G12.2,9
C1orf86,857
AL590822.2,9
AL590822.1,14
RP11-181G12.5,0
RP11-181G12.4,0
SKI,86
MORN1,24
AL589739.1,0
RER1,890
PEX10,86
PLCH2,34
RP3-395M20.2,2
RP3-395M20.3,0
PANK4,68
HES5,0
RP3-395M20.12,133
TNFRSF14,1136
RP3-395M20.7,0
RP3-395M20.9,36
FAM213B,107
MMEL1,20
RP13-436F16.1,0
TTC34,23
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,4
PRDM16,9
RP1-163G9.2,0
RP11-22L13.1,0
ARHGEF16,0
RP11-168F9.2,0
MEGF6,28
RP11-46F15.2,10
TPRG1L,56
WRAP73,187
TP73,2
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,69
CCDC27,0
SMIM1,98
LRRC47,74
RP1-286D6.5,0
CEP104,132
DFFB,61
C1orf174,348
LINC01134,6
RP13-614K11.1,0
RP13-614K11.2,0
RP5-1166F10.1,1
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,3
RP11-542C10.1,1
RP1-58B11.1,0
RP11-154H17.1,1
NPHP4,12
KCNAB2,422
AL035406.1,0
CHD5,2
RPL22,29778
RP1-120G22.11,0
RNF207,21
ICMT,70
LINC00337,3
