Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
RP11-536O18.1	0.4253318728098873	12.17733744871293	3.5616572871175016	0.09745105170491011	0.21711959247055035	FALSE
FIBIN	20.024679500913297	12.1450925692497	3.7110392850526535	2.7774871104278427e-5	2.6902368507338535e-4	TRUE
DPT	14.764313456574113	12.139309535879518	3.2521571951648673	3.363794920844797e-11	1.6414268027809845e-9	TRUE
SEMA3F	2.124166184921843	11.248384400264962	3.1958636228835187	2.3084719838372433e-5	2.3033092669404824e-4	TRUE
SFRP4	238.0653351754067	11.225733598129946	1.2542018159491377	8.842991460624597e-20	2.8016903814596276e-17	TRUE
FHL5	9.622701150850258	11.199900304144663	3.3858279555288835	3.200690042625299e-6	4.197377625784743e-5	TRUE
SOX17	9.660734032022821	11.138481223291055	3.4412869004008306	1.1399176358810477e-5	1.259208662859807e-4	TRUE
MEPE	10.30791112348639	11.004335578976653	3.6374900442367926	1.7547583476003046e-4	0.001301247362174025	TRUE
COL3A1	1050.1361782444824	10.945347503968831	1.0484845757957195	1.7949761825256763e-25	1.868570206009229e-22	TRUE
MEOX2	7.950275014122905	10.903073981331104	3.339048115904543	3.919477067297813e-6	4.996729723433551e-5	TRUE
STC1	10.45505830843985	10.845797771828074	1.390100162454468	8.907974842711843e-8	1.8216766888355808e-6	TRUE
POSTN	31.697900865518015	10.678234960818225	2.295963641153515	4.4503435392744106e-5	4.0268609317913035e-4	TRUE
COL11A1	49.22146912696645	10.634016163473975	1.7531200210564426	2.494322301096515e-10	9.668152451111865e-9	TRUE
DMP1	7.749524265828398	10.610830008714215	3.5257942888326275	1.453137049626738e-4	0.0011080869170107303	TRUE
EDIL3	24.444977760440622	10.495049372744466	1.8815693344212097	4.4808961785319496e-10	1.6574766727392038e-8	TRUE
LMOD1	24.139592446314985	10.406824054539005	1.8331983858683212	7.15942437340268e-11	3.2538913976498126e-9	TRUE
COL4A2	74.1692479742089	10.105947479255798	1.1278338994309238	8.954475659681734e-14	7.861598088204916e-12	TRUE
PRRX1	60.36832276097868	9.954544604617476	1.230576084278691	3.5441668980087237e-17	7.043548414306247e-15	TRUE
IL33	4.145538878608849	9.916428089859947	3.1502519651539926	3.958313612520261e-6	5.0397608551721275e-5	TRUE
COL4A1	114.52847288512295	9.860381269021504	1.110107742000803	4.7682076282657985e-013	3.5820545347600903e-11	TRUE
ASPN	92.84583239210541	9.685699999737864	1.1609092723162064	4.2763400734774335e-17	8.273015074892936e-15	TRUE
GUCY1A2	1.9642843434817234	9.58306434266738	1.8705835902833072	2.549222836585079e-4	0.001776492203716494	TRUE
BGN	516.5488202594034	9.575329732415431	0.9649523859431294	3.4799969827682264e-23	2.1736061154370343e-20	TRUE
HOXD9	3.519052010752646	9.525295205947312	3.207838518540318	5.8857861450102904e-5	5.142652714471221e-4	TRUE
GPR4	3.4375344829970387	9.309764179138943	1.3328980686863487	8.481393525663482e-9	2.3089880929580244e-7	TRUE
COL10A1	22.49836924079933	9.284117255651266	0.881105694639855	1.40507136588364e-13	1.1859561826093534e-11	TRUE
LINGO1	2.6075543137029213	9.057784994476334	3.1243858978402943	8.032077879701955e-5	6.712127466672953e-4	TRUE
COL1A2	1329.8147325768048	9.02323258027	0.8829071721471824	1.2751486177017437e-24	1.1615009971490758e-21	TRUE
SOX18	11.539343901599361	8.985215694167572	1.9348784982567426	1.6080092824652684e-7	3.0620810909384347e-6	TRUE
SELE	14.019607923964779	8.97475601846643	1.5053276877823818	9.656402174134438e-11	4.264377929778492e-9	TRUE
FGF1	2.42273222774898	8.943106538169499	3.097300212519742	7.662773291706406e-5	6.455780109943422e-4	TRUE
