Sample,dex
BMET1-Tumor,Tumor
BMET1-Involved,Other
BMET1-Distal,Other
BMET10-Involved,Other
BMET10-Tumor,Tumor
BMET11-Tumor,Tumor
BMET11-Involved,Other
BMET11-Distal,Other
BMET2-Tumor,Tumor
BMET2-Involved,Other
BMET2-Distal,Other
BMET3-Tumor,Tumor
BMET3-Involved,Other
BMET3-Distal,Other
BMET5-Tumor,Tumor
BMET5-Distal,Other
BMET5-Involved,Other
BMET6-Distal,Other
BMET6-Involved,Other
BMET6-Tumor,Tumor
BMET7-Tumor,Tumor
BMET7-Distal,Other
BMET8-Involved,Other
BMET8-Tumor,Tumor
BMET8-Distal,Other
BMM2-Benign,Other
BMM3-Benign,Other
BMM4-Benign,Other
BMM5-Benign,Other
BMM6-Benign,Other
BMM8-Benign,Other
BMM9-Benign,Other
